"","B","CD4","CD8","Monocytes","NK","Other"
"PD-PDBT877FZ9_0",0.373061984318,0.188422045607965,0.232886283887595,0.201138352422652,0.00449133376378811,0
"PD-PDBT877FZ9_6",0.0985524885717949,0.273752507160704,0.0686024827266195,0.499832319812241,0,0.0592602017286405
"PD-PDBT877FZ9_12",0.402783547230691,0.198146889523148,0.0956615358197952,0.303408027426366,0,0
"PD-PDBT877FZ9_18",0.463192952554789,0.118055140335997,0.145821842648531,0.272930064460683,0,0
"PD-PDBU607AAB_0",0.240399307658566,0.28775597371577,0.116655199604984,0.348653175764942,0,0.00653634325573783
"PD-PDBU607AAB_6",0.16241659306571,0.122808565874109,0,0.604415384393197,0.0254832823692225,0.0848761742977623
"PD-PDBU607AAB_12",0.367759262467021,0.203033832547715,0.0568977517516304,0.372309153233633,0,0
"PD-PDBU607AAB_18",0.261183327652234,0.284743969198149,0.257892184609594,0.185390255592531,0,0.0107902629474912
"PD-PDBU607AAB_24",0.306896993937746,0.169290882463613,0.106106396404533,0.417705727194108,0,0
"PD-PDBW209KMV_0",0.302722610535139,0.237821437983558,0.0918264593082132,0.36762949217309,0,0
"PD-PDBW209KMV_6",0.409107831975322,0.184536095156831,0.0602200357261889,0.346136037141658,0,0
"PD-PDBW209KMV_12",0.310689034966517,0.171691519642018,0.196014953499072,0.321594762530994,9.72936139864931e-06,0
"PD-PDBW209KMV_18",0.15739959492165,0.240945271070146,0.0552710540244603,0.441636626261646,0,0.104747453722097
"PD-PDBW209KMV_24",0.21192450173658,0.292042454812431,0.231770817925786,0.210349590885668,0.000716616729072756,0.0531960179104621
"PD-PDBW766JAG_0",0.349358625174388,0.194091936608983,0.0226404586171809,0.306170722128475,0,0.127738257470974
"PD-PDBW766JAG_6",0.581902190975134,0.153341788770921,0.0755579224138582,0.189198097840087,0,0
"PD-PDBW766JAG_18",0.140963125735835,0.258224169346137,0.119997826680691,0.334641087313293,0.00530712689791837,0.140866664026126
"PD-PDBW766JAG_24",0.409302503306089,0.21363735193732,0.0948077473863804,0.250324935487565,0,0.0319274618826461
"PD-PDBY238FWE_0",0.407099966027088,0.213725485020057,0.0307919930767663,0.339274355073105,0,0.00910820080298371
"PD-PDBY238FWE_6",0.311416963942913,0.315189839888215,0.117461241518177,0.23919614289213,0,0.0167358117585662
"PD-PDBY238FWE_12",0.332222156493208,0.35593995410647,0,0.131851850735338,0,0.179986038664984
"PD-PDBY238FWE_18",0.232778657878378,0.34964728066983,0.0750853506425814,0.309258782173304,0,0.0332299286359066
